GENUS;FAMILIE
Arctostaphylos;Ericaceae
Aremonia;Rosaceae
Arenaria;Caryophyllaceae
Argyrolobium;Fabaceae
Aristolochia;Aristolochiaceae
Armeria;Plumbaginaceae
Armoracia;Brassicaceae
Arnica;Asteraceae
Arnoseris;Asteraceae
Arrhenatherum;Poaceae
Artemisia;Asteraceae
Arum;Araceae
Aruncus;Rosaceae
Arundo;Poaceae
Asarina;Scrophulariaceae
Asarum;Aristolochiaceae
Asclepias;Asclepiadaceae
Asparagus;Liliaceae
Asperugo;Boraginaceae
Asperula;Rubiaceae
Asphodelus;Liliaceae
Asplenium;Aspleniaceae
Aster;Asteraceae
Asteriscus;Asteraceae
Astragalus;Fabaceae
Astrantia;Apiaceae
Athamanta;Apiaceae
Athyrium;Athyriaceae
Atriplex;Chenopodiaceae
Atropa;Solanaceae
Aubrieta;Brassicaceae
Aurinia;Brassicaceae
Avena;Poaceae
Avenella;Poaceae
Avenula;Poaceae
Azolla;Azollaceae
Baldellia;Alismataceae
Ballota;Lamiaceae
Barbarea;Brassicaceae
Bartsia;Scrophulariaceae
Bassia;Chenopodiaceae
Beckmannia;Poaceae
Bellidiastrum;Asteraceae
Bellis;Asteraceae
Berardia;Asteraceae
Berberis;Berberidaceae
Bergenia;Saxifragaceae
Berteroa;Brassicaceae
Berula;Apiaceae
Beta;Chenopodiaceae
Betonica;Lamiaceae
Betula;Betulaceae
Bidens;Asteraceae
Bifora;Apiaceae
Biscutella;Brassicaceae
Blackstonia;Gentianaceae
Blechnum;Blechnaceae
Blitum;Chenopodiaceae
Blysmus;Cyperaceae
Bolboschoenus;Cyperaceae
Borago;Boraginaceae
Bothriochloa;Poaceae
Botrychium;Ophioglossaceae
Brachypodium;Poaceae
Brassica;Brassicaceae
Brassicella;Brassicaceae
Braya;Brassicaceae
Briza;Poaceae
Bromus;Poaceae
Broussonetia;Moraceae
Brunnera;Boraginaceae
Bryonia;Cucurbitaceae
Buddleja;Buddlejaceae
Bufonia;Caryophyllaceae
Buglossoides;Boraginaceae
Bulbocodium;Liliaceae
Bunias;Brassicaceae
Bunium;Apiaceae
Buphthalmum;Asteraceae
Bupleurum;Apiaceae
Butomus;Butomaceae
Buxus;Buxaceae
Cakile;Brassicaceae
Calamagrostis;Poaceae
Calamintha;Lamiaceae
Caldesia;Alismataceae
Calendula;Asteraceae
Calepina;Brassicaceae
Calla;Araceae
Callianthemum;Ranunculaceae
Callistephus;Asteraceae
Callitriche;Callitrichaceae
Calluna;Ericaceae
Caltha;Ranunculaceae
Calycocorsus;Asteraceae
Calystegia;Convolvulaceae
Camelina;Brassicaceae
Campanula;Campanulaceae
Cannabis;Cannabaceae
Capparis;Capparaceae
Capsella;Brassicaceae
Capsicum;Solanaceae
Caragana;Fabaceae
Cardamine;Brassicaceae
Cardaminopsis;Brassicaceae
Cardaria;Brassicaceae
Carduus;Asteraceae
Carex;Cyperaceae
Carlina;Asteraceae
Carpesium;Asteraceae
Carpinus;Corylaceae
Carthamus;Asteraceae
Carum;Apiaceae
Castanea;Fagaceae
Catabrosa;Poaceae
Catananche;Asteraceae
Catapodium;Poaceae
Caucalis;Apiaceae
Celtis;Ulmaceae
Cenolophium;Apiaceae
Centaurea;Asteraceae
Centaurium;Gentianaceae
Centranthus;Valerianaceae
Centunculus;Primulaceae
Cephalanthera;Orchidaceae
Cephalaria;Dipsacaceae
Cerastium;Caryophyllaceae
Ceratophyllum;Ceratophyllaceae
Cercis;Caesalpiniaceae
Cerinthe;Boraginaceae
Ceterach;Aspleniaceae
Chaenorrhinum;Scrophulariaceae
Chaerophyllum;Apiaceae
Chamaecyparis;Cupressaceae
Chamaecytisus;Fabaceae
Chamaemelum;Asteraceae
Chamaespartium;Fabaceae
Chamorchis;Orchidaceae
Cheilanthes;Polypodiaceae
Cheiranthus;Brassicaceae
Chelidonium;Papaveraceae
Chenopodium;Chenopodiaceae
Chimaphila;Pyrolaceae
Chionodoxa;Liliaceae
Chondrilla;Asteraceae
Chrysanthemum;Asteraceae
Chrysopogon;Poaceae
Chrysosplenium;Saxifragaceae
Cicer;Fabaceae
Cicerbita;Asteraceae
Cichorium;Asteraceae
Cicuta;Apiaceae
Circaea;Onagraceae
Cirsium;Asteraceae
Cistus;Cistaceae
Cladium;Cyperaceae
Claytonia;Portulacaceae
Cleistogenes;Poaceae
Clematis;Ranunculaceae
Clinopodium;Lamiaceae
Clypeola;Brassicaceae
Cnicus;Asteraceae
Cnidium;Apiaceae
Cochlearia;Brassicaceae
Coeloglossum;Orchidaceae
Coincya;Brassicaceae
Colchicum;Liliaceae
Coleostephus;Asteraceae
Collomia;Polemoniaceae
Colutea;Fabaceae
Comarum;Rosaceae
Commelina;Commelinaceae
Conium;Apiaceae
Conringia;Brassicaceae
Consolida;Ranunculaceae
Convallaria;Liliaceae
Convolvulus;Convolvulaceae
Conyza;Asteraceae
Corallorhiza;Orchidaceae
Coreopsis;Asteraceae
Coriandrum;Apiaceae
Cornus;Cornaceae
Coronilla;Fabaceae
Coronopus;Brassicaceae
Corrigiola;Caryophyllaceae
Cortusa;Primulaceae
Corydalis;Fumariaceae
Corylus;Corylaceae
Cotinus;Anacardiaceae
Cotoneaster;Rosaceae
Crassula;Crassulaceae
Crataegus;Rosaceae
Crepis;Asteraceae
Crocus;Iridaceae
Crucianella;Rubiaceae
Cruciata;Rubiaceae
Crupina;Asteraceae
Cryptogramma;Cryptogrammaceae
Cucubalus;Caryophyllaceae
Cucumis;Cucurbitaceae
Cucurbita;Cucurbitaceae
Cupressus;Cupressaceae
Cuscuta;Cuscutaceae
Cyclamen;Primulaceae
Cydonia;Rosaceae
Cymbalaria;Scrophulariaceae
Cynara;Asteraceae
Cynodon;Poaceae
Cynoglossum;Boraginaceae
Cynosurus;Poaceae
Cyperus;Cyperaceae
Cypripedium;Orchidaceae
Cystopteris;Athyriaceae
Cytinus;Rafflesiaceae
Cytisophyllum;Fabaceae
Cytisus;Fabaceae
Dactylis;Poaceae
Dactylorhiza;Orchidaceae
Danthonia;Poaceae
Daphne;Thymelaeaceae
Datura;Solanaceae
Daucus;Apiaceae
Delphinium;Ranunculaceae
Dentaria;Brassicaceae
Deschampsia;Poaceae
Descurainia;Brassicaceae
Dianthus;Caryophyllaceae
Dictamnus;Rutaceae
Digitalis;Scrophulariaceae
Digitaria;Poaceae
Diospyros;Ebenaceae
Diphasiastrum;Lycopodiaceae
Diphasium;Lycopodiaceae
Diplachne;Poaceae
Diplotaxis;Brassicaceae
Dipsacus;Dipsacaceae
Doronicum;Asteraceae
Dorycnium;Fabaceae
Draba;Brassicaceae
Dracocephalum;Lamiaceae
Dracunculus;Araceae
Drosera;Droseraceae
Dryas;Rosaceae
Dryopteris;Aspidiaceae
Duchesnea;Rosaceae
Echinochloa;Poaceae
Echinodorus;Alismataceae
Echinops;Asteraceae
Echium;Boraginaceae
Elaeagnus;Elaeagnaceae
Elatine;Elatinaceae
Eleocharis;Cyperaceae
Eleusine;Poaceae
Elodea;Hydrocharitaceae
Elymus;Poaceae
Elyna;Cyperaceae
Empetrum;Empetraceae
Ephedra;Ephedraceae
Epilobium;Onagraceae
Epimedium;Berberidaceae
Epipactis;Orchidaceae
Epipogium;Orchidaceae
Equisetum;Equisetaceae
Eragrostis;Poaceae
Eranthis;Ranunculaceae
Erica;Ericaceae
Erigeron;Asteraceae
Erinus;Scrophulariaceae
Eriobotrya;Rosaceae
Eriophorum;Cyperaceae
Eritrichium;Boraginaceae
Erodium;Geraniaceae
Erophila;Brassicaceae
Eruca;Brassicaceae
Erucastrum;Brassicaceae
Eryngium;Apiaceae
Erysimum;Brassicaceae
Erythronium;Liliaceae
Euclidium;Brassicaceae
Euonymus;Celastraceae
Eupatorium;Asteraceae
Euphorbia;Euphorbiaceae
Euphrasia;Scrophulariaceae
Evonymus;Celastraceae
Fagopyrum;Polygonaceae
Fagus;Fagaceae
Falcaria;Apiaceae
Fallopia;Polygonaceae
Festuca;Poaceae
Ficus;Moraceae
Filago;Asteraceae
Filipendula;Rosaceae
Fimbristylis;Cyperaceae
Foeniculum;Apiaceae
Forsythia;Oleaceae
Fourraea;Brassicaceae
Fragaria;Rosaceae
Frangula;Rhamnaceae
Fraxinus;Oleaceae
Fritillaria;Liliaceae
Fumana;Cistaceae
Fumaria;Fumariaceae
Gagea;Liliaceae
Galanthus;Amaryllidaceae
Galega;Fabaceae
Galeopsis;Lamiaceae
Galinsoga;Asteraceae
Galium;Rubiaceae
Gaudinia;Poaceae
Genista;Fabaceae
Gentiana;Gentianaceae
Gentianella;Gentianaceae
Geranium;Geraniaceae
Geum;Rosaceae
Gladiolus;Iridaceae
Glaucium;Papaveraceae
Glebionis;Asteraceae
Glechoma;Lamiaceae
Gleditsia;Caesalpiniaceae
Globularia;Globulariaceae
Glyceria;Poaceae
Glycine;Fabaceae
Glycyrrhiza;Fabaceae
Gnaphalium;Asteraceae
Goodyera;Orchidaceae
Gratiola;Scrophulariaceae
Groenlandia;Potamogetonaceae
Gymnadenia;Orchidaceae
Gymnocarpium;Aspidiaceae
Gypsophila;Caryophyllaceae
Hammarbya;Orchidaceae
Hedera;Araliaceae
Hedysarum;Fabaceae
Helianthemum;Cistaceae
Helianthus;Asteraceae
Helichrysum;Asteraceae
Helicotrichon;Poaceae
Helictotrichon;Poaceae
Heliotropium;Boraginaceae
Helleborus;Ranunculaceae
Hemerocallis;Liliaceae
Hepatica;Ranunculaceae
Heracleum;Apiaceae
Herminium;Orchidaceae
Herniaria;Caryophyllaceae
Hesperis;Brassicaceae
Heteropogon;Poaceae
Hibiscus;Malvaceae
Hieracium;Asteraceae
Hierochloe;Poaceae
Hierochloë;Poaceae
Himantoglossum;Orchidaceae
Hippocrepis;Fabaceae
Hippophae;Elaeagnaceae
Hippophaë;Elaeagnaceae
Hippuris;Hippuridaceae
Hirschfeldia;Brassicaceae
Holcus;Poaceae
Holoschoenus;Cyperaceae
Holosteum;Caryophyllaceae
Homogyne;Asteraceae
Hordelymus;Poaceae
Hordeum;Poaceae
Horminum;Lamiaceae
Hornungia;Brassicaceae
Hottonia;Primulaceae
Hugueninia;Brassicaceae
Humulus;Cannabaceae
Huperzia;Lycopodiaceae
Hutchinsia;Brassicaceae
Hyacinthoides;Liliaceae
Hybrides;Nymphaeaceae
Hydrocharis;Hydrocharitaceae
Hydrocotyle;Apiaceae
Hymenolobus;Brassicaceae
Hyoscyamus;Solanaceae
Hypericum;Hypericaceae
Hypochaeris;Asteraceae
Hypochoeris;Asteraceae
Hyssopus;Lamiaceae
Iberis;Brassicaceae
Ilex;Aquifoliaceae
Illecebrum;Caryophyllaceae
Impatiens;Balsaminaceae
Inula;Asteraceae
Iris;Iridaceae
Isatis;Brassicaceae
Isolepis;Cyperaceae
Isopyrum;Ranunculaceae
Isoëtes;Isoëtaceae
Isoëtes;Isoëtaceae
Jasione;Campanulaceae
Jasminum;Oleaceae
Jovibarba;Crassulaceae
Juglans;Juglandaceae
Juncus;Juncaceae
Juniperus;Cupressaceae
Kernera;Brassicaceae
Kibera;Brassicaceae
Kickxia;Scrophulariaceae
Knautia;Dipsacaceae
Kobresia;Cyperaceae
Kochia;Chenopodiaceae
Koeleria;Poaceae
Laburnum;Fabaceae
Lactuca;Asteraceae
Lagarosiphon;Hydrocharitaceae
Lamiastrum;Lamiaceae
Lamium;Lamiaceae
Lappula;Boraginaceae
Lapsana;Asteraceae
Larix;Pinaceae
Laserpitium;Apiaceae
Lastrea;Polypodiaceae
Lathraea;Scrophulariaceae
Lathyrus;Fabaceae
Laurus;Lauraceae
Lavandula;Lamiaceae
Leersia;Poaceae
Legousia;Campanulaceae
Lembotropis;Fabaceae
Lemna;Lemnaceae
Lens;Fabaceae
Leontodon;Asteraceae
Leontopodium;Asteraceae
Leonurus;Lamiaceae
Lepidium;Brassicaceae
Leucanthemella;Asteraceae
Leucanthemopsis;Asteraceae
Leucanthemum;Asteraceae
Leucojum;Amaryllidaceae
Leucorchis;Orchidaceae
Leuzea;Asteraceae
Levisticum;Apiaceae
Ligusticum;Apiaceae
Ligustrum;Oleaceae
Lilium;Liliaceae
Limodorum;Orchidaceae
Limosella;Scrophulariaceae
Linaria;Scrophulariaceae
Lindernia;Scrophulariaceae
Linnaea;Caprifoliaceae
Linum;Linaceae
Liparis;Orchidaceae
Listera;Orchidaceae
Lithospermum;Boraginaceae
Littorella;Plantaginaceae
Lloydia;Liliaceae
Lobelia;Lobeliaceae
Lobularia;Brassicaceae
Loiseleuria;Ericaceae
Lolium;Poaceae
Lomatogonium;Gentianaceae
Lomelosia;Dipsacaceae
Lonicera;Caprifoliaceae
Lotus;Fabaceae
Ludwigia;Onagraceae
Lunaria;Brassicaceae
Lupinus;Fabaceae
Luzula;Juncaceae
Lychnis;Caryophyllaceae
Lycium;Solanaceae
Lycopersicon;Solanaceae
Lycopodiella;Lycopodiaceae
Lycopodium;Lycopodiaceae
Lycopus;Lamiaceae
Lysimachia;Primulaceae
Lythrum;Lythraceae
Mahonia;Berberidaceae
Maianthemum;Liliaceae
Majorana;Lamiaceae
Malaxis;Orchidaceae
Malus;Rosaceae
Malva;Malvaceae
Marrubium;Lamiaceae
Marsilea;Marsileaceae
Matricaria;Asteraceae
Matteuccia;Athyriaceae
Matthiola;Brassicaceae
Meconopsis;Papaveraceae
Medicago;Fabaceae
Melampyrum;Scrophulariaceae
Melica;Poaceae
Melilotus;Fabaceae
Melissa;Lamiaceae
Melittis;Lamiaceae
Mentha;Lamiaceae
Menyanthes;Menyanthaceae
Mercurialis;Euphorbiaceae
Mespilus;Rosaceae
Meum;Apiaceae
Mibora;Poaceae
Micropus;Asteraceae
Micropyrum;Poaceae
Microstylis;Orchidaceae
Milium;Poaceae
Mimulus;Scrophulariaceae
Minuartia;Caryophyllaceae
Miscanthus;Poaceae
Misopates;Scrophulariaceae
Moehringia;Caryophyllaceae
Moenchia;Caryophyllaceae
Molinia;Poaceae
Molopospermum;Apiaceae
Moneses;Pyrolaceae
Monotropa;Monotropaceae
Montia;Portulacaceae
Morus;Moraceae
Muhlenbergia;Poaceae
Murbeckiella;Brassicaceae
Muscari;Liliaceae
Myagrum;Brassicaceae
Mycelis;Asteraceae
Myosotis;Boraginaceae
Myosoton;Caryophyllaceae
Myosurus;Ranunculaceae
Myricaria;Tamaricaceae
Myriophyllum;Haloragaceae
Myrrhis;Apiaceae
Myrtus;Myrtaceae
Najas;Najadaceae
Narcissus;Amaryllidaceae
Nardurus;Poaceae
Nardus;Poaceae
Nasturtium;Brassicaceae
Nelumbo;Nymphaeaceae
Neottia;Orchidaceae
Nepeta;Lamiaceae
Neslia;Brassicaceae
Nicandra;Solanaceae
Nicotiana;Solanaceae
Nigella;Ranunculaceae
Nigritella;Orchidaceae
Nonea;Boraginaceae
Notholaena;Sinopteridaceae
Nuphar;Nymphaeaceae
Nymphaea;Nymphaeaceae
Nymphea;Nymphaeaceae
Nymphoides;Menyanthaceae
Ocimum;Lamiaceae
Odontites;Scrophulariaceae
Oenanthe;Apiaceae
Oenothera;Onagraceae
Olea;Oleaceae
Omphalodes;Boraginaceae
Onobrychis;Fabaceae
Ononis;Fabaceae
Onopordum;Asteraceae
Onosma;Boraginaceae
Ophioglossum;Ophioglossaceae
Ophrys;Orchidaceae
Oplismenus;Poaceae
Opuntia;Cactaceae
Orchis;Orchidaceae
Oreochloa;Poaceae
Oreopteris;Thelypteridaceae
Origanum;Lamiaceae
Orlaya;Apiaceae
Ormenis;Asteraceae
Ornithogalum;Liliaceae
Ornithopus;Fabaceae
Orobanche;Orobanchaceae
Orthilia;Pyrolaceae
Oryzopsis;Poaceae
Osmunda;Osmundaceae
Ostrya;Corylaceae
Osyris;Santalaceae
Oxalis;Oxalidaceae
Oxycoccus;Ericaceae
Oxyria;Polygonaceae
Oxytropis;Fabaceae
Paederota;Scrophulariaceae
Paeonia;Paeoniaceae
Paliurus;Rhamnaceae
Pallenis;Asteraceae
Panicum;Poaceae
Papaver;Papaveraceae
Paradisea;Liliaceae
Parietaria;Urticaceae
Paris;Liliaceae
Parnassia;Parnassiaceae
Paronychia;Caryophyllaceae
Parthenocissus;Vitaceae
Paspalum;Poaceae
Pastinaca;Apiaceae
Paulownia;Bignoniaceae
Pedicularis;Scrophulariaceae
Peplis;Lythraceae
Petasites;Asteraceae
Petrocallis;Brassicaceae
Petrorhagia;Caryophyllaceae
Petroselinum;Apiaceae
Peucedanum;Apiaceae
Phacelia;Hydrophyllaceae
Phalaris;Poaceae
Phaseolus;Fabaceae
Phegopteris;Thelypteridaceae
Philadelphus;Philadelphaceae
Phillyrea;Oleaceae
Phleum;Poaceae
Phragmites;Poaceae
Phyllitis;Aspleniaceae
Physalis;Solanaceae
Physocarpus;Rosaceae
Physoplexis;Campanulaceae
Phyteuma;Campanulaceae
Phytolacca;Phytolaccaceae
Picea;Pinaceae
Picris;Asteraceae
Pilularia;Marsileaceae
Pimpinella;Apiaceae
Pinguicula;Lentibulariaceae
Pinus;Pinaceae
Piptatherum;Poaceae
Pistacia;Anacardiaceae
Pisum;Fabaceae
Plantago;Plantaginaceae
Platanthera;Orchidaceae
Platanus;Platanaceae
Pleurospermum;Apiaceae
Poa;Poaceae
Podospermum;Asteraceae
Polemonium;Polemoniaceae
Polycarpon;Caryophyllaceae
Polycnemum;Chenopodiaceae
Polygala;Polygalaceae
Polygonatum;Liliaceae
Polygonum;Polygonaceae
Polypodium;Polypodiaceae
Polypogon;Poaceae
Polystichum;Aspidiaceae
Pontederia;Pontederiaceae
Populus;Salicaceae
Portulaca;Portulacaceae
Potamogeton;Potamogetonaceae
Potentilla;Rosaceae
Prenanthes;Asteraceae
Primula;Primulaceae
Pritzelago;Brassicaceae
Prunella;Lamiaceae
Prunus;Rosaceae
Pseudolysimachion;Scrophulariaceae
Pseudorchis;Orchidaceae
Pseudostellaria;Caryophyllaceae
Pseudotsuga;Pinaceae
Pteridium;Dennstaedtiaceae
Pteris;Pteridaceae
Ptychotis;Apiaceae
Puccinellia;Poaceae
Pueraria;Fabaceae
Pulicaria;Asteraceae
Pulmonaria;Boraginaceae
Pulsatilla;Ranunculaceae
Punica;Punicaceae
Pyracantha;Rosaceae
Pyrola;Pyrolaceae
Pyrus;Rosaceae
Quercus;Fagaceae
Radiola;Linaceae
Ranunculus;Ranunculaceae
Raphanus;Brassicaceae
Rapistrum;Brassicaceae
Reseda;Resedaceae
Reynoutria;Polygonaceae
Rhamnus;Rhamnaceae
Rhaponticum;Asteraceae
Rheum;Polygonaceae
Rhinanthus;Scrophulariaceae
Rhodiola;Crassulaceae
Rhododendron;Ericaceae
Rhodothamnus;Ericaceae
Rhus;Anacardiaceae
Rhynchosinapis;Brassicaceae
Rhynchospora;Cyperaceae
Ribes;Grossulariaceae
Robinia;Fabaceae
Rorippa;Brassicaceae
Rosa;Rosaceae
Rosmarinus;Lamiaceae
Rostraria;Poaceae
Rubia;Rubiaceae
Rubus;Rosaceae
Rudbeckia;Asteraceae
Rumex;Polygonaceae
Ruscus;Liliaceae
Ruta;Rutaceae
Sagina;Caryophyllaceae
Sagittaria;Alismataceae
Salix;Salicaceae
Salsola;Chenopodiaceae
Salvia;Lamiaceae
Salvinia;Salviniaceae
Sambucus;Caprifoliaceae
Samolus;Primulaceae
Sanguisorba;Rosaceae
Sanicula;Apiaceae
Santolina;Asteraceae
Saponaria;Caryophyllaceae
Sarracenia;Sarraceniaceae
Satureja;Lamiaceae
Saururus;Saururaceae
Saussurea;Asteraceae
Saxifraga;Saxifragaceae
Scabiosa;Dipsacaceae
Scandix;Apiaceae
Scheuchzeria;Scheuchzeriaceae
Schoenoplectus;Cyperaceae
Schoenus;Cyperaceae
Scilla;Liliaceae
Scirpoides;Cyperaceae
Scirpus;Cyperaceae
Scleranthus;Caryophyllaceae
Sclerochloa;Poaceae
Scleropoa;Poaceae
Scolymus;Asteraceae
Scopolia;Solanaceae
Scorzonera;Asteraceae
Scrophularia;Scrophulariaceae
Scutellaria;Lamiaceae
Secale;Poaceae
Securigera;Fabaceae
Sedum;Crassulaceae
Selaginella;Selaginellaceae
Selinum;Apiaceae
Sempervivum;Crassulaceae
Senecio;Asteraceae
Serapias;Orchidaceae
Serratula;Asteraceae
Seseli;Apiaceae
Sesleria;Poaceae
Setaria;Poaceae
Sherardia;Rubiaceae
Sibbaldia;Rosaceae
Sideritis;Lamiaceae
Sieglingia;Poaceae
Silaum;Apiaceae
Silene;Caryophyllaceae
Silybum;Asteraceae
Sinapis;Brassicaceae
Sison;Apiaceae
Sisymbrium;Brassicaceae
Sisyrinchium;Iridaceae
Sium;Apiaceae
Solanum;Solanaceae
Soldanella;Primulaceae
Solidago;Asteraceae
Sonchus;Asteraceae
Sorbus;Rosaceae
Sorghum;Poaceae
Sorzonera;Asteraceae
Sparganium;Sparganiaceae
Spartium;Fabaceae
Spergula;Caryophyllaceae
Spergularia;Caryophyllaceae
Spinacia;Chenopodiaceae
Spiraea;Rosaceae
Spiranthes;Orchidaceae
Spirodela;Lemnaceae
Stachys;Lamiaceae
Staehelina;Asteraceae
Staphylea;Staphyleaceae
Stellaria;Caryophyllaceae
Stemmacantha;Asteraceae
Stipa;Poaceae
Stratiotes;Hydrocharitaceae
Streptopus;Liliaceae
Subularia;Brassicaceae
Succisa;Dipsacaceae
Succisella;Dipsacaceae
Swertia;Gentianaceae
Symphoricarpos;Caprifoliaceae
Symphytum;Boraginaceae
Synotoma;Campanulaceae
Syringa;Oleaceae
Tamus;Dioscoreaceae
Tanacetum;Asteraceae
Taraxacum;Asteraceae
Taxus;Taxaceae
Teesdalia;Brassicaceae
Telekia;Asteraceae
Telephium;Caryophyllaceae
Tephroseris;Asteraceae
Tetragonia;Aizoaceae
Tetragonolobus;Fabaceae
Teucrium;Lamiaceae
Thalictrum;Ranunculaceae
Thelypteris;Thelypteridaceae
Thesium;Santalaceae
Thlaspi;Brassicaceae
Thuja;Cupressaceae
Thymelaea;Thymelaeaceae
Thymus;Lamiaceae
Tilia;Tiliaceae
Tofieldia;Liliaceae
Tolpis;Asteraceae
Tordylium;Apiaceae
Torilis;Apiaceae
Tozzia;Scrophulariaceae
Trachycarpus;Arecaceae
Tragopogon;Asteraceae
Tragus;Poaceae
Trapa;Trapaceae
Traunsteinera;Orchidaceae
Tribulus;Zygophyllaceae
Trichophorum;Cyperaceae
Trientalis;Primulaceae
Trifolium;Fabaceae
Triglochin;Juncaginaceae
Trigonella;Fabaceae
Trinia;Apiaceae
Tripleurospermum;Asteraceae
Triseta
Trisetum;Poaceae
Triticosecale;Poaceae
Triticum;Poaceae
Trochiscanthes;Apiaceae
Trollius;Ranunculaceae
Tulipa;Liliaceae
Turgenia;Apiaceae
Turritis;Brassicaceae
Tussilago;Asteraceae
Typha;Typhaceae
Ulex;Fabaceae
Ulmus;Ulmaceae
Umbilicus;Crassulaceae
Urtica;Urticaceae
Utricularia;Lentibulariaceae
Vaccaria;Caryophyllaceae
Vaccinium;Ericaceae
Valeriana;Valerianaceae
Valerianella;Valerianaceae
Vallisneria;Hydrocharitaceae
Veratrum;Liliaceae
Verbascum;Scrophulariaceae
Verbena;Verbenaceae
Veronica;Scrophulariaceae
Viburnum;Caprifoliaceae
Vicia;Fabaceae
Vinca;Apocynaceae
Vincetoxicum;Asclepiadaceae
Viola;Violaceae
Viscum;Loranthaceae
Vitis;Vitaceae
Vulpia;Poaceae
Wisteria;Fabaceae
Woodsia;Athyriaceae
Xanthium;Asteraceae
Xeranthemum;Asteraceae
Zannichellia;Zannichelliaceae
Zea;Poaceae
xCalammophila;Poaceae
Cimicifuga;Actaea
Coleanthus;Poaceae
Conioselinum;Apiaceae
Conopodium;Apiaceae
Corallorrhiza;Orchidacae
